city,year,episode_id,start_date,end_date,duration_days,observed_episode_days,n_station_days,station_ids,days_with_direct_support,days_with_noncompound_support
New York,2019,new_york_2019-08-18,2019-08-18,2019-08-20,3,3,26,34-003-0010;34-013-0003;34-017-0006;34-017-1002;34-039-0004;36-005-0110;36-005-0133;36-081-0124;36-081-0125,2,3
New York,2020,new_york_2020-07-02,2020-07-02,2020-07-03,2,2,18,34-003-0010;34-013-0003;34-017-0006;34-017-1002;34-039-0004;36-005-0110;36-005-0133;36-081-0124;36-081-0125,2,2
New York,2020,new_york_2020-07-21,2020-07-21,2020-07-22,2,2,18,34-003-0010;34-013-0003;34-017-0006;34-017-1002;34-039-0004;36-005-0110;36-005-0133;36-081-0124;36-081-0125,2,2
New York,2020,new_york_2020-07-29,2020-07-29,2020-07-30,2,2,18,34-003-0010;34-013-0003;34-017-0006;34-017-1002;34-039-0004;36-005-0110;36-005-0133;36-081-0124;36-081-0125,2,2
New York,2021,new_york_2021-06-08,2021-06-08,2021-06-09,2,2,17,34-003-0010;34-013-0003;34-017-0006;34-017-1002;34-039-0004;36-005-0110;36-005-0133;36-081-0124;36-081-0125,2,2
New York,2021,new_york_2021-07-14,2021-07-14,2021-07-17,4,4,30,34-003-0010;34-013-0003;34-017-0006;34-017-1002;34-039-0004;36-005-0133;36-081-0124;36-081-0125,4,4
New York,2021,new_york_2021-07-26,2021-07-26,2021-07-27,2,2,18,34-003-0010;34-013-0003;34-017-0006;34-017-1002;34-039-0004;36-005-0110;36-005-0133;36-081-0124;36-081-0125,2,2
New York,2021,new_york_2021-08-25,2021-08-25,2021-08-27,3,3,27,34-003-0010;34-013-0003;34-017-0006;34-017-1002;34-039-0004;36-005-0110;36-005-0133;36-081-0124;36-081-0125,1,3
New York,2022,new_york_2022-07-03,2022-07-03,2022-07-04,2,2,18,34-003-0010;34-013-0003;34-017-0006;34-017-1002;34-039-0004;36-005-0110;36-005-0133;36-081-0124;36-081-0125,2,2
New York,2022,new_york_2022-07-13,2022-07-13,2022-07-14,2,2,17,34-003-0010;34-013-0003;34-017-0006;34-017-1002;34-039-0004;36-005-0110;36-005-0133;36-081-0124;36-081-0125,1,2
New York,2022,new_york_2022-09-04,2022-09-04,2022-09-05,2,2,18,34-003-0010;34-013-0003;34-017-0006;34-017-1002;34-039-0004;36-005-0110;36-005-0133;36-081-0124;36-081-0125,2,2
New York,2023,new_york_2023-07-05,2023-07-05,2023-07-08,4,4,28,34-003-0010;34-017-0006;34-039-0004;36-005-0110;36-005-0133;36-081-0124;36-081-0125,2,4
New York,2023,new_york_2023-07-14,2023-07-14,2023-07-15,2,2,16,34-003-0010;34-017-0006;34-017-1002;34-039-0004;36-005-0110;36-005-0133;36-081-0124;36-081-0125,2,2
New York,2023,new_york_2023-09-04,2023-09-04,2023-09-09,6,6,48,34-003-0010;34-017-0006;34-017-1002;34-039-0004;36-005-0110;36-005-0133;36-081-0124;36-081-0125,6,6
