definition,comparator,city,year,supported_station_days,supported_strata,supported_city_days,supported_episode_station_days,supported_episode_city_days,supported_events
p80_p30_min3_sep7,neither,Houston,2019,16,8,2,8,1,1
p80_p30_min3_sep7,neither,Houston,2020,8,4,2,4,1,1
p80_p30_min3_sep7,neither,Houston,2021,200,72,24,72,8,2
p80_p30_min3_sep7,neither,Houston,2022,40,20,4,20,2,1
p80_p30_min3_sep7,neither,Houston,2023,62,31,8,31,4,2
p80_p30_min3_sep7,neither,Houston,2024,210,64,24,110,12,3
p80_p30_min3_sep7,neither,Houston,2025,40,20,4,20,2,1
p80_p30_min3_sep7,neither,Los Angeles,2019,151,55,22,62,9,2
p80_p30_min3_sep7,neither,Los Angeles,2020,255,93,33,124,16,6
p80_p30_min3_sep7,neither,Los Angeles,2021,188,60,25,60,8,2
p80_p30_min3_sep7,neither,Los Angeles,2022,202,70,29,91,13,3
p80_p30_min3_sep7,neither,Los Angeles,2023,103,41,15,41,6,2
p80_p30_min3_sep7,neither,Los Angeles,2024,0,0,0,0,0,0
p80_p30_min3_sep7,neither,Los Angeles,2025,45,19,7,19,3,1
p80_p30_min3_sep7,neither,New York,2019,138,44,16,44,5,2
p80_p30_min3_sep7,neither,New York,2020,0,0,0,0,0,0
p80_p30_min3_sep7,neither,New York,2021,108,39,14,39,5,2
p80_p30_min3_sep7,neither,New York,2022,0,0,0,0,0,0
p80_p30_min3_sep7,neither,New York,2023,192,61,26,61,8,2
p80_p30_min3_sep7,neither,New York,2024,150,56,19,56,7,2
p80_p30_min3_sep7,neither,New York,2025,47,16,6,31,4,2
p80_p30_min3_sep7,neither,Philadelphia,2019,28,10,8,10,3,1
p80_p30_min3_sep7,neither,Philadelphia,2020,0,0,0,0,0,0
p80_p30_min3_sep7,neither,Philadelphia,2021,45,20,9,20,4,2
p80_p30_min3_sep7,neither,Philadelphia,2022,0,0,0,0,0,0
p80_p30_min3_sep7,neither,Philadelphia,2023,0,0,0,0,0,0
p80_p30_min3_sep7,neither,Philadelphia,2024,0,0,0,0,0,0
p80_p30_min3_sep7,neither,Philadelphia,2025,61,21,15,21,5,2
p80_p30_min3_sep7,neither,Phoenix,2019,0,0,0,0,0,0
p80_p30_min3_sep7,neither,Phoenix,2020,0,0,0,0,0,0
p80_p30_min3_sep7,neither,Phoenix,2021,0,0,0,0,0,0
p80_p30_min3_sep7,neither,Phoenix,2022,0,0,0,0,0,0
