city,year,episode_id,event_mean_n_sites,control_mean_n_sites,site_count_difference,roster_jaccard,common_qualified_sites,common_site_ids,original_change_ppb,common_site_change_ppb
New York,2022,new_york_2022-07-13,8.5,8.5,0.0,1.0,7,34-003-0010;34-013-0003;34-017-1002;34-039-0004;36-005-0110;36-005-0133;36-081-0124,3.2722710714285714,2.390005785714285
New York,2022,new_york_2022-09-04,9.0,8.0,1.0,1.0,8,34-003-0010;34-017-0006;34-017-1002;34-039-0004;36-005-0110;36-005-0133;36-081-0124;36-081-0125,4.662701428571432,5.210804607142857
New York,2023,new_york_2023-07-05,7.0,7.5,-0.5,1.0,6,34-003-0010;34-017-0006;36-005-0110;36-005-0133;36-081-0124;36-081-0125,-1.964652357142857,-1.2192429107142857
New York,2023,new_york_2023-07-14,8.0,8.0,0.0,1.0,7,34-003-0010;34-017-0006;34-039-0004;36-005-0110;36-005-0133;36-081-0124;36-081-0125,-0.8903748928571424,-2.1305609999999984
New York,2023,new_york_2023-09-04,8.0,8.0,0.0,1.0,8,34-003-0010;34-017-0006;34-017-1002;34-039-0004;36-005-0110;36-005-0133;36-081-0124;36-081-0125,6.386226952380953,6.386226952380953
New York,2024,new_york_2024-07-05,8.0,8.0,0.0,1.0,8,34-003-0010;34-017-0006;34-017-1002;34-039-0004;36-005-0110;36-005-0133;36-081-0124;36-081-0125,9.77194339285714,9.77194339285714
New York,2024,new_york_2024-07-13,8.0,8.0,0.0,1.0,8,34-003-0010;34-017-0006;34-017-1002;34-039-0004;36-005-0110;36-005-0133;36-081-0124;36-081-0125,4.457642928571428,4.457642928571428
New York,2024,new_york_2024-08-01,8.0,8.0,0.0,1.0,8,34-003-0010;34-017-0006;34-017-1002;34-039-0004;36-005-0110;36-005-0133;36-081-0124;36-081-0125,13.301471190476196,13.301471190476192
New York,2025,new_york_2025-07-08,8.0,7.0,1.0,0.875,6,34-003-0010;34-017-0006;34-017-1002;34-039-0004;36-005-0110;36-081-0125,-1.3213430000000006,-1.3683256071428573
New York,2025,new_york_2025-07-28,8.0,7.666666666666667,0.33333333333333304,1.0,7,34-003-0010;34-017-0006;34-017-1002;34-039-0004;36-005-0133;36-081-0124;36-081-0125,4.38871266666667,4.266002285714286
New York,2025,new_york_2025-08-13,7.5,7.5,0.0,1.0,6,34-017-0006;34-017-1002;34-039-0004;36-005-0110;36-005-0133;36-081-0124,1.1441734642857142,2.05118935714286
Philadelphia,2019,philadelphia_2019-06-27,3.0,4.0,-1.0,1.0,3,34-007-0002;42-101-0075;42-101-0076,8.910834821428569,7.279676785714285
Philadelphia,2019,philadelphia_2019-08-03,4.0,5.0,-1.0,1.0,4,34-007-0002;42-045-0002;42-101-0075;42-101-0076,-3.807045749999999,-2.0641399285714273
Philadelphia,2019,philadelphia_2019-08-17,4.0,4.5,-0.5,1.0,3,34-007-0002;42-045-0002;42-101-0075,-0.2360726250000011,0.06732003571428802
Philadelphia,2020,philadelphia_2020-07-21,4.0,5.0,-1.0,1.0,4,34-007-0002;42-101-0048;42-101-0075;42-101-0076,0.7755298214285711,1.1657204285714284
